time,ax,ay,az,wx,wy,wz,participant,label,type
0 days 00:00:00.541000,0.01,-0.06,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.544000,0.01,-0.06,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.547000,0.01,-0.06,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.548000,0.01,-0.06,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.550000,-0.01,-0.03,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.551000,-0.01,-0.03,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.553000,-0.01,-0.03,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.569000,-0.01,-0.03,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.570000,-0.01,-0.03,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.571000,-0.01,0.0,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.572000,-0.01,0.0,0.24,0.01,0.0,0.0,Ali,1,0
0 days 00:00:00.574000,-0.01,0.0,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.577000,-0.01,0.0,0.24,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.578000,-0.01,0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.579000,-0.01,0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.582000,-0.01,0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.584000,-0.01,0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.587000,-0.01,0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.588000,-0.01,0.0,0.19,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.590000,-0.01,0.0,0.19,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.591000,-0.01,0.0,0.19,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.594000,-0.01,0.0,0.19,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.609000,-0.01,0.0,0.19,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.610000,-0.01,0.0,0.19,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.611000,-0.01,0.0,0.19,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.612000,0.02,0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.617000,0.02,0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.618000,0.02,0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.623000,0.01,-0.01,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.626000,0.01,-0.01,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.627000,0.01,-0.01,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.628000,0.0,-0.05,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.629000,0.0,-0.05,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.630000,0.0,-0.05,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.634000,0.0,-0.05,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.645000,0.0,-0.05,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.654000,0.0,-0.05,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.655000,0.0,-0.05,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.656000,-0.02,-0.03,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.657000,-0.02,-0.03,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.658000,0.0,0.01,0.21,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.659000,0.0,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.661000,0.0,0.01,0.21,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.664000,0.0,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.666000,0.0,0.01,0.21,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.667000,0.0,-0.01,0.2,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.669000,0.0,-0.01,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.672000,0.0,-0.01,0.2,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.673000,0.0,-0.01,0.2,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.690000,0.0,-0.01,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.691000,0.0,-0.01,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.692000,-0.01,-0.01,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.694000,-0.01,-0.01,0.2,0.0,0.0,0.0,Ali,1,0
